,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,InformedConsent,Prolific,Overall_knowledge,importance_role,industry_regulations,guidelines,awareness,measures,measures_11_TEXT,report_issue,frequency_informed,review_policies,concern,Confidence,confident_prevent,knowledge,maintain_tools,rank_tools_1,rank_tools_2,rank_tools_3,rank_tools_4,rank_tools_5,antivirus_scans,Considerations,AI_in_cybersecurity,AI usage,ai_accuracy,Bias_security,wrong_identification,Worst_Outcome,Trust in AI,Review_frequency,location_policies,Consequences,Effectiveness,rank_steps_1,rank_steps_2,rank_steps_3,rank_steps_4,rank_steps_5,specialist,it_specialist_increase,it_specialist_solve,improvement_cybersecurity,training,follow_training,frequency_training,relevancy,Knowledge_increase_after_training,implementation,increase_in_effectiveness,familiarity_with_phishing,password_update_frequency,public_networks,Lock_screen,Sensitive_information_on_local,Same_password_multiple_systems,pop_up_frequency,download_unrelated,received_emails_with_link,CIRP_available,dedicated_department_cyberthreat,tests_within_company,notification_protocol,protocols_sharing_info,Age,nationality,Gender,sector,Company Size,department,Years of Experience,questions,PROLIFIC_PID
12,2024-09-30 16:18:36,2024-09-30 16:23:49,IP Address,102.65.0.86,100,312,True,2024-09-30 16:23:49,R_8154MKx1YiEiLfO,-28.9984,23.9888,anonymous,EN,Yes,5f72e0bd15c1dd21f128183a,Knowledgeable,Extremely important,Yes,Always,Yes,"Encryption,Two-factor authentication,Data backups,Anti-virus software,Employee training,Virtual Private Network (VPN),Password Manager,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Extremely likely,Most of the time,Monthly,A great deal,A great deal,A great deal,Extremely adequate,Daily,1,2,4,3,5,Daily,Accuracy,Yes,Yes,A great deal,A great deal,A great deal,False positives (i.e. harmless emails being identified as suspicious and being blocked),Proven track record of reliability,Monthly or more frequently,"Yes, I know exactly where they are",Very familiar,"Yes, they are very effective",5,1,2,3,4,Yes,Yes,Always,Yes,Yes,,Monthly,Very relevant,Significantly,Always,Yes,Somewhat confident,Monthly,"Yes, with all my devices",Always,Always,No,Yes,No,Delete the message,I don't know,Yes,Actively and randomly all the time,Yes,Yes,37,South Africa,Male,Consulting and Professional Services,100+,Customer Service & Support,1-3 years,10 - 20 years,5f72e0bd15c1dd21f128183a
13,2024-09-30 16:18:14,2024-09-30 16:24:02,IP Address,37.30.24.10,100,348,True,2024-09-30 16:24:02,R_2JA8qw5xQeL9ojL,52.4333,16.9419,anonymous,EN,Yes,66913f5de0b10efeacb0f31b,Not very knowledgeable,Slightly important,Yes,Sometimes,Yes,"Firewalls,Two-factor authentication,Virtual Private Network (VPN),Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Neither likely nor unlikely,About half the time,Quarterly,A little,A lot,A lot,Somewhat adequate,Monthly,5,3,2,1,4,Rarely,Integration with other tools,Maybe,I don't know,,,,,,Quarterly,"Yes, but I'm not sure of the exact location",Somewhat familiar,"Yes, they are very effective",2,5,1,4,3,Yes,Yes,Often,Yes,I Don't Know,"Yes, willingly",Quarterly,,,,Yes,Somewhat confident,Every few months,"Yes, but only with my personal devices",Always,Sometimes,Yes,No,No,"Click the link, and investigate the root of the problem to Report it to IT or a supervisor",I don't know,I don't know,Every 6 months,I don't know,Yes,24,Polish,Female,Education,51-100,Customer Service & Support,1-3 years,5 - 10 years,66913f5de0b10efeacb0f31b
14,2024-09-30 16:18:34,2024-09-30 16:24:10,IP Address,148.69.166.4,100,335,True,2024-09-30 16:24:10,R_8rZrbEECWlJ4YWj,38.731,-9.1373,anonymous,EN,Yes,5e5eb2c22e5b4a046a224902,Not very knowledgeable,Slightly important,Yes,Sometimes,Yes,"Firewalls,Two-factor authentication,Anti-virus software,Virtual Private Network (VPN),Password Manager,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Extremely likely,Sometimes,Monthly,A moderate amount,A lot,A moderate amount,Somewhat adequate,Monthly,4,5,1,2,3,Monthly,Integration with other tools,Maybe,No,,,,,,Monthly or more frequently,"Yes, but I'm not sure of the exact location",Not very familiar,"Yes, they are somewhat effective",1,5,3,4,2,Yes,Yes,Always,Not sure,Yes,,Annually,Neutral,Slightly,Sometimes,Not sure,Very confident,Monthly,"Yes, but only with my personal devices",Sometimes,Rarely,Yes,No,No,Ignore,I don't know,I don't know,Never,I don't know,I don't know,25,Portuguese,Female,Media and Entertainment,100+,Other,1-3 years,More than 20 years,5e5eb2c22e5b4a046a224902
15,2024-09-30 16:18:06,2024-09-30 16:24:25,IP Address,99.235.183.156,100,379,True,2024-09-30 16:24:26,R_5OHK0IyPqKZGZ2c,43.7627,-79.7606,anonymous,EN,Yes,66699fb6c445834548a9b958,Not very knowledgeable,Moderately important,I don't know,Always,Yes,"Encryption,Two-factor authentication,Data backups,Anti-virus software,Employee training,Virtual Private Network (VPN),Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Extremely likely,Most of the time,Quarterly,A moderate amount,A lot,A lot,Somewhat adequate,Less frequently,1,3,5,2,4,Monthly,Accuracy,Maybe,I don't know,,,,,,Every 6 months,"Yes, but I'm not sure of the exact location",Somewhat familiar,"Yes, they are somewhat effective",5,2,1,3,4,Yes,No,Often,Not sure,Yes,,Quarterly,Relevant,Moderately,Moderately,No,Very confident,Every few months,"No, only private networks",Always,Rarely,Yes,Yes,No,Delete the message,I don't know,I don't know,I don't know,Yes,Yes,28,Indian,Female,Finance and Banking,51-100,Finance & Accounting,3-5 years,10 - 20 years,66699fb6c445834548a9b958
16,2024-09-30 16:17:14,2024-09-30 16:24:31,IP Address,85.254.73.138,100,436,True,2024-09-30 16:24:32,R_2gkW4TVnu6Etrq1,56.9496,24.0978,anonymous,EN,Yes,5f45282b8515140ace81cb44,Neutral,Moderately important,I don't know,Often,Yes,I don't know,,Somewhat likely,Sometimes,I don't know,A moderate amount,A lot,A little,Somewhat adequate,Less frequently,4,1,5,2,3,Monthly,Ease of use,Yes,I don't know,,,,,,Every 6 months,"Yes, I know exactly where they are",Somewhat familiar,Neutral,5,4,1,2,3,No,,,,I Don't Know,Only if mandatory,,,,,Not sure,Somewhat confident,Annually,"Yes, but only with my personal devices",Often,Always,Yes,No,Yes,Delete the message,I don't know,I don't know,Every 6 months,Yes,Yes,21,latvian,Male,Transportation and Logistics,2024-11-25 00:00:00,IT & Engineering,1-3 years,5 - 10 years,5f45282b8515140ace81cb44
17,2024-09-30 16:17:57,2024-09-30 16:24:39,IP Address,83.174.10.73,100,401,True,2024-09-30 16:24:39,R_8fVNZM3nryMGNEw,41.1691,-8.6793,anonymous,EN,Yes,5ee63fc1730b1c39dbc514ec,Neutral,Moderately important,Yes,Often,Yes,"Firewalls,Encryption,Two-factor authentication,Data backups,Virtual Private Network (VPN),Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Extremely likely,About half the time,I don't know,A moderate amount,A great deal,A great deal,Somewhat adequate,Less frequently,2,4,3,5,1,Never,Integration with other tools,Maybe,I don't know,,,,,,Never,"Yes, but I'm not sure of the exact location",Not very familiar,"Yes, they are very effective",1,5,2,4,3,Yes,Yes,Often,Yes,Yes,,Annually,Not very relevant,Slightly,Sometimes,Not sure,Very confident,Only when forced,"Yes, with all my devices",Always,Always,No,Yes,Yes,Ignore,I don't know,Yes,Never,I don't know,I don't know,27,Portuguese,Male,Retail and E-commerce,100+,Sales & Marketing,1-3 years,10 - 20 years,5ee63fc1730b1c39dbc514ec
18,2024-09-30 16:20:21,2024-09-30 16:24:50,IP Address,148.63.77.207,100,268,True,2024-09-30 16:24:50,R_2yVNEbYjOHVpub7,38.731,-9.1373,anonymous,EN,Yes,612687a5a3c9d923c4050e47,Knowledgeable,Very important,Yes,Rarely,Yes,"Encryption,Data backups",,Somewhat likely,Most of the time,Never,A moderate amount,A lot,A moderate amount,Somewhat adequate,I don't update or maintain them,1,3,5,4,2,Rarely,Ease of use,Yes,Yes,A lot,Not all,A little,False positives (i.e. harmless emails being identified as suspicious and being blocked),Independent certifications of AI systems,Never,"No, I've never seen them",Neutral,"Yes, they are somewhat effective",2,4,1,5,3,No,,,,No,"Yes, willingly",,,,,Yes,Very confident,Annually,"Yes, but only with my personal devices",Always,Rarely,Yes,No,No,Delete the message,No,No,Never,No,No,29,Portuguese,Male,Information Technology (IT),2024-01-10 00:00:00,IT & Engineering,1-3 years,1 - 3 years,612687a5a3c9d923c4050e47
19,2024-09-30 16:18:04,2024-09-30 16:24:57,IP Address,197.184.181.206,100,412,True,2024-09-30 16:24:57,R_2Uaux8slymSWWJh,-26.2309,28.0583,anonymous,EN,Yes,616eb2d976db1b90a9c2907b,Knowledgeable,Very important,Yes,Always,Yes,"Firewalls,Two-factor authentication,Data backups,Anti-virus software,Employee training,Virtual Private Network (VPN),Password Manager,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Extremely likely,Most of the time,I don't know,A great deal,A great deal,A great deal,Somewhat adequate,Weekly,3,4,2,1,5,Weekly,Accuracy,Yes,I don't know,,,,,,Every 6 months,"Yes, I know exactly where they are",Somewhat familiar,"Yes, they are very effective",4,5,2,1,3,Yes,Yes,Always,Yes,Yes,,Annually,Very relevant,Significantly,Always,Yes,Very confident,Every few months,"Yes, but only with my personal devices",Often,Rarely,Yes,Yes,Yes,Ignore,Yes,Yes,Every 6 months,Yes,Yes,23,South African,Female,Finance and Banking,100+,Finance & Accounting,1-3 years,More than 20 years,616eb2d976db1b90a9c2907b
20,2024-09-30 16:16:12,2024-09-30 16:25:00,IP Address,148.69.237.191,100,527,True,2024-09-30 16:25:01,R_8PcnaQ5OgvL0Ra4,38.5661,-7.8932,anonymous,EN,Yes,616631efeeac0979c1ba85a9,Neutral,Slightly important,No,Sometimes,Yes,"Data backups,Anti-virus software,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Extremely likely,Sometimes,I don't know,A moderate amount,A moderate amount,A moderate amount,Somewhat adequate,Less frequently,4,1,2,3,5,Never,Accuracy,Maybe,No,,,,,,Never,"Yes, but I'm not sure of the exact location",Not very familiar,"No, they are not very effective",2,1,4,5,3,Yes,Yes,Often,Not sure,No,"Yes, willingly",Never,,,,Yes,Somewhat confident,Every few months,"Yes, but only with my personal devices",Rarely,Never,Yes,No,No,Delete the message,I don't know,Yes,Never,I don't know,I don't know,26,portuguese,Female,Legal Services,51-100,Legal & Compliance,1-3 years,More than 20 years,616631efeeac0979c1ba85a9
21,2024-09-30 16:16:38,2024-09-30 16:25:02,IP Address,41.144.36.124,100,503,True,2024-09-30 16:25:03,R_2cTaBhTr0lAMCNl,-29.8556,31.0449,anonymous,EN,Yes,66acdb5739d47156da1d18be,Knowledgeable,Extremely important,Yes,Often,Yes,"Data backups,Anti-virus software,Employee training,Password Manager",,Neither likely nor unlikely,Sometimes,I don't know,A moderate amount,A moderate amount,A moderate amount,Neither adequate nor inadequate,Weekly,4,3,2,5,1,Monthly,Accuracy,Yes,No,,,,,,Never,"Yes, but I'm not sure of the exact location",Neutral,Neutral,4,5,1,2,3,No,,,,No,"Yes, willingly",,,,,Yes,Neutral,Every few months,"Yes, but only with my personal devices",Rarely,Sometimes,No,Yes,No,"Click the link, and investigate the root of the problem to Report it to IT or a supervisor",I don't know,No,I don't know,Yes,I don't know,28,South African ,Female,Retail and E-commerce,26-50,Finance & Accounting,3-5 years,More than 20 years,66acdb5739d47156da1d18be
22,2024-09-30 16:16:34,2024-09-30 16:25:04,IP Address,85.237.180.227,100,510,True,2024-09-30 16:25:05,R_2tX5B4FCGLJdJbH,54.6037,18.2503,anonymous,EN,Yes,5fcfe4545aaa21191399943d,Not very knowledgeable,Slightly important,No,Rarely,No,I don't know,,Somewhat unlikely,Never,I don't know,A moderate amount,A little,None at all,Somewhat adequate,Less frequently,1,4,3,5,2,Never,Cost,Yes,I don't know,,,,,,Never,"No, I've never seen them",Not familiar at all,Neutral,2,5,4,1,3,Yes,Not sure,Never,Not sure,No,Only if mandatory,Never,,,,Not sure,Somewhat confident,Only when forced,"No, only private networks",Always,Always,Yes,No,No,Ignore,I don't know,I don't know,I don't know,I don't know,I don't know,23,Polish,Non-binary / third gender,Education,51-100,Other,3-5 years,5 - 10 years,5fcfe4545aaa21191399943d
23,2024-09-30 16:18:02,2024-09-30 16:25:05,IP Address,105.0.5.92,100,422,True,2024-09-30 16:25:05,R_8COEyMhxLnIxqFN,-26.2309,28.0583,anonymous,EN,Yes,66d70bf832e6b0ff954d418a,Knowledgeable,Very important,Yes,Sometimes,Yes,"Two-factor authentication,Anti-virus software",,Somewhat unlikely,About half the time,Quarterly,A moderate amount,A lot,A lot,Somewhat adequate,Monthly,1,2,3,5,4,Rarely,Accuracy,No,No,,,,,,Quarterly,"Yes, I know exactly where they are",Very familiar,"Yes, they are very effective",2,1,3,5,4,No,,,,No,"Yes, willingly",,,,,Yes,Very confident,Monthly,"Yes, but only with my personal devices",Always,Never,No,Yes,No,Delete the message,No,No,Once a year,I don't know,Yes,24,South African,Female,Non-Profit and NGOs,2024-01-10 00:00:00,Other,less than 1 year,10 - 20 years,66d70bf832e6b0ff954d418a
24,2024-09-30 16:16:15,2024-09-30 16:25:09,IP Address,85.240.252.181,100,534,True,2024-09-30 16:25:09,R_86neMzN5ju0vbZs,38.7905,-9.1859,anonymous,EN,Yes,66a8e1c5ce39bf6edaeb8eba,Knowledgeable,Moderately important,Yes,Sometimes,Yes,"Two-factor authentication,Data backups,Anti-virus software,Virtual Private Network (VPN),Password Manager",,Extremely likely,Most of the time,Annually,A lot,A little,A moderate amount,Somewhat adequate,Less frequently,2,3,4,1,5,Weekly,Accuracy,Yes,No,,,,,,Never,"No, I don't know where they are",Not very familiar,"Yes, they are somewhat effective",1,2,4,5,3,Yes,Yes,Always,Yes,No,"Yes, willingly",Never,,,,Yes,Very confident,Annually,"No, only private networks",Rarely,Always,No,No,Yes,Delete the message,I don't know,Yes,Never,Yes,Yes,33,portuguese,Female,Finance and Banking,51-100,Finance & Accounting,5-10 years,More than 20 years,66a8e1c5ce39bf6edaeb8eba
25,2024-09-30 16:18:17,2024-09-30 16:25:17,IP Address,157.193.240.180,100,419,True,2024-09-30 16:25:17,R_22l9ob3uPnGdhoN,51.047,3.7206,anonymous,EN,Yes,5fe863367e067a6c8af263b9,Not very knowledgeable,Moderately important,No,Sometimes,Not sure,"Two-factor authentication,Data backups,Virtual Private Network (VPN)",,Extremely likely,Sometimes,I don't know,A moderate amount,A little,A moderate amount,Neither adequate nor inadequate,Monthly,2,3,4,5,1,Never,Accuracy,Yes,No,,,,,,Never,"No, I don't know where they are",Not very familiar,Neutral,2,5,3,1,4,Yes,Not sure,Sometimes,Not sure,No,"Yes, willingly",Never,,,,Yes,Somewhat confident,Every few months,"No, only private networks",Always,Always,No,No,No,Delete the message,I don't know,Yes,I don't know,I don't know,I don't know,28,Italian,Female,Education,100+,Other,1-3 years,More than 20 years,5fe863367e067a6c8af263b9
26,2024-09-30 16:21:00,2024-09-30 16:25:20,IP Address,80.49.53.90,100,259,True,2024-09-30 16:25:20,R_2e1VIj0DAxMbzi1,50.6594,19.0368,anonymous,EN,Yes,5e805d349c1c2472d64b9a81,Very knowledgeable,Slightly important,Yes,Rarely,Yes,"Firewalls,Two-factor authentication,Employee training,Password Manager,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Somewhat likely,Sometimes,I don't know,A lot,A lot,A lot,Somewhat adequate,Monthly,5,1,3,4,2,Monthly,Accuracy,Maybe,No,,,,,,Once a year,"Yes, but I'm not sure of the exact location",Somewhat familiar,"Yes, they are very effective",1,5,3,2,4,No,,,,No,"Yes, willingly",,,,,Yes,Very confident,Monthly,"No, only private networks",Often,Never,No,No,No,Ignore,I don't know,Yes,I don't know,I don't know,Yes,23,Poland,Male,Legal Services,51-100,Customer Service & Support,3-5 years,More than 20 years,5e805d349c1c2472d64b9a81
27,2024-09-30 16:16:54,2024-09-30 16:25:23,IP Address,148.252.129.27,100,508,True,2024-09-30 16:25:24,R_2oVOVYVJNpkXCNj,51.4964,-0.1224,anonymous,EN,Yes,63ee3c187f559a5302a9d755,Not very knowledgeable,Moderately important,Yes,Often,Yes,"Firewalls,Anti-virus software,Employee training",,Somewhat likely,About half the time,I don't know,A lot,A little,A little,Neither adequate nor inadequate,Less frequently,1,5,2,3,4,Weekly,Ease of use,Yes,No,,,,,,Never,"Yes, but I'm not sure of the exact location",Not very familiar,"No, they are not very effective",1,5,3,2,4,Yes,Yes,Always,No,No,"Yes, willingly",Never,,,,Yes,Somewhat confident,Every few months,"Yes, with all my devices",Always,Sometimes,Yes,No,Yes,Ignore,I don't know,No,I don't know,I don't know,No,34,British,Male,Retail and E-commerce,51-100,Operations & Supply Chain,5-10 years,10 - 20 years,63ee3c187f559a5302a9d755
